Congruent(c),Incongruent(i),Difference(i-c), deviation of (x-xbar), squared deviation (I)  (x-xbar)^2,,,,,
12.079,19.278,7.199,-0.765791667,0.586436877,,,,Mean difference-->,7.964791667
16.791,18.741,1.95,-6.014791667,36.17771879,,,,variance -->,23.66654087
9.564,21.214,11.65,3.685208333,13.58076046,,,,Standard Deviation-->,4.86482691
8.63,15.687,7.057,-0.907791667,0.82408571,,,,Standard Error-->,0.993028635
14.669,22.803,8.134,0.169208333,0.02863146,,,,t-value-->,8.020706944
12.238,20.878,8.64,0.675208333,0.455906293,,,,,
14.692,24.572,9.88,1.915208333,3.66802296,,,,,
8.987,17.394,8.407,0.442208333,0.19554821,,,,,
9.401,20.762,11.361,3.396208333,11.53423104,,,,,
14.48,26.282,11.802,3.837208333,14.72416779,,,,,
22.328,24.524,2.196,-5.768791667,33.27895729,,,,,
15.298,18.644,3.346,-4.618791667,21.33323646,,,,,
15.073,17.51,2.437,-5.527791667,30.55648071,,,,,
16.929,20.33,3.401,-4.563791667,20.82819438,,,,,
18.2,35.255,17.055,9.090208333,82.63188754,,,,,
12.13,22.158,10.028,2.063208333,4.256828627,,,,,
18.495,25.139,6.644,-1.320791667,1.744490627,,,,,
10.639,20.429,9.79,1.825208333,3.33138546,,,,,
11.344,17.425,6.081,-1.883791667,3.548671043,,,,,
12.369,34.288,21.919,13.95420833,194.7199302,,,,,
12.944,23.894,10.95,2.985208333,8.911468793,,,,,
14.233,17.96,3.727,-4.237791667,17.95887821,,,,,
19.71,22.058,2.348,-5.616791667,31.54834863,,,,,
16.004,21.157,5.153,-2.811791667,7.906172377,,,,,
